date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:00	114/114	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Dec%202016%2007:36:55%20GMT	http://moonfiber.bigcartel.com/product/Moon-milk	C:/My%20Web%20Sites/moonfiber.bigcartel.com/moonfiber.bigcartel.com/product/Moon-milk	(from http://moonfiber.bigcartel.com/faqs)
09:37:00	114/114	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Dec%202016%2007:36:55%20GMT	http://moonfiber.bigcartel.com/product/Moon-milk	C:/My%20Web%20Sites/moonfiber.bigcartel.com/moonfiber.bigcartel.com/product/Moon-milk	(from http://moonfiber.bigcartel.com/faqs)
09:37:01	936/936	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jun%202016%2017:17:12%20GMT	http://assets.pinterest.com/images/PinExt.png	C:/My%20Web%20Sites/moonfiber.bigcartel.com/assets.pinterest.com/images/PinExt.png	(from http://moonfiber.bigcartel.com/product/lunar-dust)
09:37:01	28008/28008	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Dec%202016%203:38:15%20GMT	https://images.bigcartel.com/product_images/185011317/IMG_7129b.jpg?auto=format&fit=max&h=1000&w=1000	C:/My%20Web%20Sites/moonfiber.bigcartel.com/images.bigcartel.com/product_images/185011317/IMG_7129b7063.jpg	(from http://moonfiber.bigcartel.com/product/lunar-dust)
09:37:02	355/355	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Dec%202016%2022:43:58%20GMT	http://assets.pinterest.com/js/pinit.js	C:/My%20Web%20Sites/moonfiber.bigcartel.com/assets.pinterest.com/js/pinit.js	(from http://moonfiber.bigcartel.com/product/lunar-dust)
09:37:02	26586/26586	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Nov%202016%2014:27:57%20GMT	https://images.bigcartel.com/product_images/185011404/IMG_7129c.jpg?auto=format&fit=max&h=1000&w=1000	C:/My%20Web%20Sites/moonfiber.bigcartel.com/images.bigcartel.com/product_images/185011404/IMG_7129c7063.jpg	(from http://moonfiber.bigcartel.com/product/moon-shine)
09:37:02	26677/26677	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Dec%202016%2011:39:42%20GMT	https://images.bigcartel.com/product_images/185011422/IMG_7129c2.jpg?auto=format&fit=max&h=1000&w=1000	C:/My%20Web%20Sites/moonfiber.bigcartel.com/images.bigcartel.com/product_images/185011422/IMG_7129c27063.jpg	(from http://moonfiber.bigcartel.com/product/ice-balm)
09:37:03	30869/30869	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Dec%202016%2014:11:32%20GMT	https://images.bigcartel.com/product_images/185011449/IMG_7132c2.jpg?auto=format&fit=max&h=1000&w=1000	C:/My%20Web%20Sites/moonfiber.bigcartel.com/images.bigcartel.com/product_images/185011449/IMG_7132c27063.jpg	(from http://moonfiber.bigcartel.com/product/moon-milk)
09:37:04	26144/26144	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Dec%202016%204:16:36%20GMT	https://images.bigcartel.com/product_images/185011617/IMG_7132c.jpg?auto=format&fit=max&h=1000&w=1000	C:/My%20Web%20Sites/moonfiber.bigcartel.com/images.bigcartel.com/product_images/185011617/IMG_7132c7063.jpg	(from http://moonfiber.bigcartel.com/product/tektite-wax)
09:37:04	24355/24355	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Dec%202016%208:35:24%20GMT	https://images.bigcartel.com/product_images/185011701/IMG_7132b.jpg?auto=format&fit=max&h=1000&w=1000	C:/My%20Web%20Sites/moonfiber.bigcartel.com/images.bigcartel.com/product_images/185011701/IMG_7132b7063.jpg	(from http://moonfiber.bigcartel.com/product/moon-freeze)
09:37:04	53627/53627	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Dec%202016%209:49:27%20GMT	https://images.bigcartel.com/product_images/185007600/group.jpg?auto=format&fit=max&h=1000&w=1000	C:/My%20Web%20Sites/moonfiber.bigcartel.com/images.bigcartel.com/product_images/185007600/group7063.jpg	(from http://moonfiber.bigcartel.com/product/total-lunar-eclipse-kit-save-20)
